Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4jl12DMF8Yf9tuD5bcWP4r,"Get Lost","Aurora","Super Future",2025-05-30,222000,23,false,,2025-11-08T20:21:05Z,"bass music","Odyzey Music",0.621,0.611,9,-6.269,1,0.055,0.459,0.002,0.109,0.0557,79.975,4
spotify:track:7K5nNgiuXg5JWM4e13V0Dq,"Decimate","Decimate","Edison Cole",2025-09-26,167200,23,false,,2025-11-08T20:21:05Z,"dubstep","Bite This!",0.378,0.996,4,-0.746,0,0.411,0.0331,0.0102,0.293,0.256,149.574,4
spotify:track:0A9kmYQndXznJm1uNYKbF6,"Dead Limit (Noisia's 'Outer Edges' Remix)","Outer Edges (Noisia Remixes)","Noisia;The Upbeats",2017-06-09,262190,15,false,,2025-11-08T20:21:05Z,"drum and bass,drumstep,dubstep,breakbeat,jungle,bass music,liquid funk","Vision Recordings",0.348,0.99,5,-0.906,0,0.466,0.00442,0.176,0.0908,0.0571,171.909,4
spotify:track:4bW4m8LzKoaqwF8sCI37wn,"Drum Beats Go Like","Drum Beats Go Like","Shlump",2024-05-17,216000,34,true,,2025-11-08T20:21:05Z,"bass music,dubstep,riddim","HypnoVizion Records Inc.",0.755,0.851,1,-4.665,1,0.0815,0.0568,0.385,0.47,0.641,120.004,4
spotify:track:6qLM7FY8SPWYIyKKhzzVO0,"Here With Me","Here With Me","PEEKABOO",2020-09-25,223999,53,false,,2025-11-08T20:21:05Z,"dubstep,bass music,riddim","Rare Breed Artists",0.64,0.59,1,-2.502,0,0.0691,0.0495,0.206,0.144,0.103,90.047,4
spotify:track:5EGPcRBpUVPv28MGTI2oyc,"Louder","Danger Console","Shanghai Doom",2025-07-11,152357,11,false,,2025-11-08T20:21:05Z,"bass music,dubstep,riddim","Shanghai Doom Music",0.884,0.692,2,-0.842,1,0.0447,0.00156,0.539,0.0898,0.462,140.058,4
spotify:track:1uyZGBnuSdTXjsvi6dKgiD,"Evoke","What I Can Do","CØNTRA;Saturna",2024-10-01,226027,44,false,,2025-11-08T20:21:05Z,"bass music,downtempo","The Gradient Perspective Records",0.742,0.334,7,-9.052,0,0.0364,0.246,0.886,0.0692,0.0517,139.963,4
spotify:track:7HlbQCdVXgANsk2FMXICUs,"Diplodocus - Kill The Noise Remix","Split the Atom (Special Edition)","Noisia;Kill The Noise Remix",2012-04-09,164539,24,false,,2025-11-08T20:21:05Z,"drum and bass,drumstep,dubstep,breakbeat,jungle,bass music","Vision Recordings",0.619,0.968,6,-3.194,0,0.318,0.000646,0.027,0.291,0.274,171.869,4
spotify:track:2zRWhgtP9FAS6LNEbEb9Yu,"SOUL - VIP","PERIPHERY (Remix LP)","Ravenscoon;ZEKE BEATS;Born I;Seeka",2024-05-17,142000,27,true,,2025-11-08T20:21:05Z,"bass music,dubstep,drumstep","WAKAAN",0.662,0.909,1,-3.148,1,0.305,0.0614,0.000663,0.218,0.294,139.906,4
spotify:track:05j0dS7ZvaC6a4jnkjMags,"Sound - Chmura Remix","Digital Human Remix","Ashez;Chmura",2021-03-04,257321,37,false,,2025-11-08T20:21:05Z,"bass music,downtempo","BOY RECORDS",0.794,0.546,1,-7.004,1,0.0897,0.0458,0.501,0.0656,0.336,167.946,4
spotify:track:2ymdSGVLQG0WQCfZhGqTyS,"Fantasy","HEYZ'D And Confused","Heyz",2025-08-01,192000,38,false,,2025-11-08T20:21:05Z,"bass music,dubstep","Bassrush Records",0.382,0.697,1,-2.904,1,0.0389,0.00491,0.0000552,0.684,0.0347,140.11,4
spotify:track:2i9iY19wSpMG7kVbfj0kf3,"HYPERBEAM","HYPERBEAM","HYPERLIGHT",2025-04-04,204943,15,false,,2025-11-08T20:21:05Z,"","Lunar Bass Records",0.664,0.898,7,-4.006,1,0.0639,0.0456,0.485,0.265,0.33,173.983,4
spotify:track:2NdVOj1QOXN39tkrOeQ7EV,"Pay (For What)","Bang, Vol. 3","Mr. Carmack",2014-04-15,191351,0,false,,2025-11-08T20:21:05Z,"edm trap","Lightsleepers",0.711,0.467,11,-7.852,0,0.244,0.673,0.00801,0.0997,0.0923,148.021,4
spotify:track:3dGJRJA65RXfB8jleRtcP5,"Blood Bank","Blood Bank","Dennett;High Zombie",2025-09-12,154285,30,false,,2025-11-08T20:21:05Z,"riddim,dubstep,deathstep,bass music","Boom Records LLC",0.608,0.929,2,-2.429,1,0.0555,0.0204,0.0987,0.24,0.103,139.969,4
spotify:track:034Or1251K13U8kTi4dlLg,"You & Me - Flume Remix","Club House","Disclosure;Eliza Doolittle;Flume",2021-04-23,282812,28,false,,2025-11-08T20:21:05Z,"house,future bass","UME - Global Clearing House",0.599,0.392,10,-6.869,0,0.0257,0.378,0.000107,0.131,0.26,75.066,4
spotify:track:2nVkaBHPUf8qrxDooNAHzE,"Lose Control","Lose Control","Fourward",2020-07-31,238588,42,false,,2025-11-08T20:21:05Z,"drum and bass,liquid funk","Elevate Records",0.441,0.926,6,-4.703,1,0.128,0.000504,0.0177,0.122,0.126,174.99,4
spotify:track:4XZC1labZABgXtbAag1eWo,"Flip It","Escapism Vol. 1","Levity;Dem Jointz",2024-09-25,135000,55,false,,2025-11-08T20:21:05Z,"dubstep","Deadbeats",0.772,0.681,1,-6.7,1,0.0597,0.143,0.00237,0.106,0.761,160.039,4
spotify:track:5rxxtiVPMz0ASdNzoErvpg,"Been About","Been About","rSUN",2024-06-07,204000,35,false,,2025-11-08T20:21:05Z,"bass music","Good Society",0.708,0.755,11,-3.405,0,0.0399,0.00257,0.651,0.464,0.361,79.993,4
spotify:track:0PRoM2WmkLn04PKauQOyWz,"Flow","Entropy","rSUN",2025-03-21,205772,34,false,,2025-11-08T20:21:05Z,"bass music","Memory Palace",0.537,0.652,4,-5.19,1,0.0429,0.143,0.807,0.0948,0.0363,104.785,3
spotify:track:0F35FTyIEqHhS1qHbfyLqC,"Made It Clear","Freaks EP","Klinical",2025-05-02,195428,37,false,,2025-11-08T20:21:05Z,"drum and bass,liquid funk,dubstep,drumstep,jungle","Overview Music",0.69,0.732,11,-6.608,1,0.0373,0.0424,0.745,0.751,0.244,140.034,4
spotify:track:3FXDzAJ28I5CNC7GWDRn4K,"Bring The House Down","Bring The House Down","DJ Snake;Dillon Francis;TRXGGX",2025-10-10,222814,56,false,,2025-11-08T20:21:05Z,"moombahton,edm,edm trap,dubstep","DJ Snake Music Productions Limited",0.271,0.995,4,-0.561,1,0.164,0.0095,0.473,0.607,0.265,144.936,4
spotify:track:7lY2gIUuegI3j4mnRa8Lky,"BACK2LIFE","BACK2LIFE","Pirapus",2025-05-23,241371,42,false,,2025-11-08T20:21:05Z,"drum and bass","Thrive Music",0.492,0.944,6,-3.76,1,0.0411,0.111,0.00226,0.0796,0.243,175.034,4
spotify:track:6dMT9nL41UUJkmqXdWRFEb,"Trouble","Trouble","Effin",2024-08-09,245142,40,false,,2025-11-08T20:21:05Z,"dubstep,riddim,bass music,deathstep","Effin Music",0.687,0.899,1,-2.052,1,0.286,0.0115,0.0515,0.633,0.456,139.955,4
spotify:track:1De2GzUWYUdwAmRjDz8Qdp,"Fractal","Fractal","ERBES;REPLASED",2025-09-26,164571,18,false,,2025-11-08T20:21:05Z,"riddim,dubstep,deathstep,bass music","WHY Z MUSIC",0.748,0.591,2,-7.116,1,0.0574,0.00957,0.159,0.14,0.248,139.955,4
spotify:track:5rbZvFArrWYKE0caMq7HnB,"Brute (Josh Teed Remix)","Ancestors (Remixed)","Jaenga;Josh Teed",2025-01-17,241681,34,false,,2025-11-08T20:21:05Z,"dubstep,bass music","SubCarbon",0.458,0.716,4,-4.984,0,0.138,0.15,0.513,0.413,0.14,139.796,4
spotify:track:1jUWJ90dmJLAb0AdL39vXU,"with vengeance","with vengeance","Nikita, the Wicked",2024-05-24,200598,41,false,,2025-11-08T20:21:05Z,"uk garage,bass music","Nikita, the Wicked",0.586,0.636,7,-5.348,0,0.0744,0.0542,0.145,0.84,0.103,140.023,4
spotify:track:0YhHb73exyTlzcHyUxmG2S,"Love Potion","Love Potion","Effin",2024-04-05,246857,42,false,,2025-11-08T20:21:05Z,"dubstep,riddim,bass music,deathstep","Effin Music",0.57,0.945,11,-1.506,0,0.266,0.0312,0.00136,0.176,0.186,140.105,4
spotify:track:3xE0aFAEDbS3hjtBB5PKLT,"Flip It - Tape B Remix","Flip It (Tape B Remix)","Levity;Tape B;Dem Jointz",2024-02-28,187916,52,false,,2025-11-08T20:21:05Z,"dubstep,bass music,riddim","Deadbeats",0.748,0.859,8,-5.479,0,0.255,0.16,0.00275,0.081,0.557,144.192,4
spotify:track:0o2h4dylUGtAcQ8gwMWrP3,"CLOSER","CLOSER","VANDA",2025-01-24,207050,23,false,,2025-11-08T20:21:05Z,"edm trap","VANDA",0.628,0.858,6,-4.117,0,0.155,0.0316,0.06,0.152,0.132,142.008,4
spotify:track:49ngxNljkJchygKTBrN78X,"Noxious","Noxious","LYNY",2022-05-11,178290,33,false,,2025-11-08T20:21:05Z,"bass music,dubstep","Noxious Recordings",0.607,0.729,1,-6.562,1,0.0554,0.0321,0.548,0.318,0.388,139.539,4
spotify:track:2bsugkJJSKAI1et7Xf2F54,"I need a break.","I need a break.","The Caracal Project;Buunshin;Rhode",2022-09-01,152790,41,false,,2025-11-08T20:21:05Z,"drum and bass,liquid funk,drumstep","UKF",0.703,0.834,2,-2.536,0,0.0521,0.0349,0.0894,0.321,0.326,86.02,4
spotify:track:1vXidQNdc2qr8JPXmaXzY0,"Hyperreal","Fluorescence","Big Gigantic;Blanke;ProbCause",2025-06-20,173478,40,false,,2025-11-08T20:21:05Z,"melodic bass,future bass,dubstep,edm","Big Gigantic",0.61,0.963,10,-2.475,0,0.117,0.00436,0.0000206,0.671,0.392,92.02,4
spotify:track:47Yi7jvxnwCG0zGa41vmU1,"Buried","Buried","IMANU;HYPRESSION",2021-09-10,253333,34,false,,2025-11-08T20:21:05Z,"drum and bass,drumstep,bass house,g-house","Deadbeats",0.636,0.966,7,-3.125,0,0.0486,0.000939,0.00965,0.0813,0.0774,126.061,4
spotify:track:00k55HxLWMXRVWKOLzmrsG,"Dune","Hyperspace","Shanghai Doom",2023-10-27,153600,37,false,,2025-11-08T20:21:05Z,"bass music,dubstep,riddim","Bassrush Records",0.604,0.919,8,-2.975,0,0.0623,0.00362,0.767,0.0971,0.447,74.983,4
spotify:track:7nZq7iZXdL6R3wHnyfGZtG,"Body Work VIP","Body Work VIP","Circadian",2023-11-17,267931,37,false,,2025-11-08T20:21:05Z,"drum and bass","Elevate Records",0.559,0.968,1,-1.778,1,0.146,0.00353,0.802,0.106,0.216,174.13,4
spotify:track:1whhLeg6WV3LiQne0adJW4,"Satellite - SOTA Remix","Satellite (SOTA Remix)","Dimension;Alison Wonderland;SOTA",2024-07-25,177931,38,false,,2025-11-08T20:21:05Z,"drum and bass,liquid funk,edm trap,future bass,edm,bassline","Dimension",0.594,0.804,7,-3.812,0,0.11,0.0226,0.000172,0.0919,0.157,173.98,4
spotify:track:5OF5BXeoXG4IJKVM6dxAbO,"SOUL","SOUL","Shae District;Haasy",2025-03-21,175919,18,false,,2025-11-08T20:21:05Z,"","Putyouon Music Group",0.764,0.864,1,-6.264,0,0.0869,0.0113,0.367,0.232,0.516,135.026,4
spotify:track:4ESaz98jq3rVEimEIrVAzN,"Lonesome","Daydreams","Effin",2025-06-27,243428,45,false,,2025-11-08T20:21:05Z,"dubstep,riddim,bass music,deathstep","Effin Music",0.601,0.888,8,-3.017,0,0.143,0.0346,0.00775,0.619,0.217,139.817,4
spotify:track:5VHoqswQZpT3cc09phEmhi,"All I Need Is Bass","Eyes Wide Open","PEEKABOO",2023-11-03,169954,39,false,,2025-11-08T20:21:05Z,"dubstep,bass music,riddim","Peekaboo Music",0.877,0.837,11,-5.655,0,0.171,0.0497,0.178,0.0862,0.493,152.07,4
spotify:track:7mCDRMWEok4y7NHgKSfD2K,"Hitz","Hitz","LYNY",2024-08-16,168017,35,false,,2025-11-08T20:21:05Z,"bass music,dubstep","Noxious Recordings",0.486,0.837,10,-7.388,0,0.494,0.000698,0.00000244,0.372,0.425,132.052,4
spotify:track:1ZIglHDIFjtMiFV2VItzPg,"Bassline","Bassline","Super Future;Wreckno",2023-08-18,254117,34,false,,2025-11-08T20:21:05Z,"bass music","HypnoVizion Records Inc.",0.506,0.796,1,-3.417,1,0.301,0.173,0.0773,0.111,0.28,84.699,4
spotify:track:1jO3WNEmOGnOT3kwph4kxe,"Warrior Spirit","Warrior Spirit","HYPERLIGHT",2024-01-03,258000,16,false,,2025-11-08T20:21:05Z,"","High Vibe Records",0.602,0.935,1,-4.109,1,0.369,0.00707,0.00169,0.127,0.409,159.955,4
spotify:track:6Z2bU2WbFdgtQvbfSUmFOX,"Laws of the Matrix","Yugen","Meduso",2020-08-11,236571,4,false,,2025-11-08T20:21:05Z,"bass music","Perplex Studios",0.629,0.818,10,-5.805,1,0.0548,0.00037,0.0371,0.116,0.298,139.989,4
spotify:track:6NlBcr0CvGpWvuxgLUjD9t,"Yummy Gummy","Yummy Gummy","Mary Droppinz",2024-09-20,170704,37,false,,2025-11-08T20:21:05Z,"","Deadbeats",0.881,0.659,6,-6.193,1,0.0767,0.000513,0.0436,0.3,0.622,141.997,4
spotify:track:4t2tX7m8SPhCtvgQ1w3iRo,"Go Again","Go Again","borne",2025-05-09,130673,38,false,,2025-11-08T20:21:05Z,"uk garage,bass music,dubstep","NIGHTMODE",0.668,0.947,5,-5.165,0,0.0499,0.0433,0.89,0.311,0.288,139.986,4
spotify:track:5XOo9tUFjrP4c7aBas9HvS,"CROOKED","CROOKED","STVSH",2024-04-24,212571,41,false,,2025-11-08T20:21:05Z,"bass music,dubstep","Jadu Dala",0.7,0.718,2,-6.971,1,0.0524,0.00111,0.717,0.647,0.416,139.979,4
spotify:track:0TYpnpLfszFPlNqXd5OqPG,"Losing My Mind","Losing My Mind","Bronze Sun",2025-05-09,148965,22,false,,2025-11-08T20:21:05Z,"bass music","Liminal Bass Records",0.701,0.677,10,-6.082,0,0.0862,0.0531,0.0764,0.0777,0.292,145.03,4
spotify:track:7EyhssM3gS5EwyrRpJ802Z,"Sock'em Bop'em","All In","Know Good",2025-07-07,178285,48,true,,2025-11-08T20:21:05Z,"","KNOW GOOD LLC",0.773,0.527,1,-5.947,1,0.279,0.301,0.0000487,0.126,0.318,140.03,4
spotify:track:7xPSA2vZJgBfVAjK0Ae6Q5,"Vortex","Spiral","Rezz;PEEKABOO",2021-11-19,282947,0,false,,2025-11-08T20:21:05Z,"edm,dubstep,bass music,riddim","Rezz Music/RCA Records",0.707,0.756,0,-3.928,1,0.0426,0.00083,0.843,0.137,0.129,94.946,4
spotify:track:37FhgYB2uZKLoxtYerxht5,"Sleepwalker","Sleepwalker","Ankou;Vellum",2022-12-29,214153,0,false,,2025-11-08T20:21:05Z,"drumstep,bass music,bassline,bass house,g-house","ankoumusic",0.687,0.923,1,-3.104,1,0.387,0.000842,0.719,0.911,0.217,129.984,4
spotify:track:2q8Vitl14019j7jDORqXwz,"Hum it to google","Basspunk 2","Bassvictim;Ngahere Wafer",2025-01-30,117117,45,false,,2025-11-08T20:21:05Z,"electroclash,witch house,hyperpop,emo rap","TWIN",0.484,0.831,3,-5.903,0,0.0967,0.0225,0.0565,0.101,0.621,77.957,4
spotify:track:3E4DqfanSZc4gdUQXaovcj,"Bumpin' - LYNY Remix","Eyes Wide Open (Remixes)","PEEKABOO;LYNY",2024-05-17,130231,40,false,,2025-11-08T20:21:05Z,"dubstep,bass music,riddim","Peekaboo Music",0.624,0.995,8,-5.295,0,0.346,0.0073,0.0759,0.194,0.453,139.86,4
spotify:track:3dNDt0VLKc0xUcuTI20Q73,"Innocence 2025","Innocence 2025","NERO;Taiki Nulight",2025-03-13,168000,52,false,,2025-11-08T20:21:05Z,"dubstep,dub,bassline,bass house,g-house,uk garage","Polydor Records",0.59,0.607,8,-3.919,1,0.092,0.0135,0.166,0.0873,0.278,139.805,4
spotify:track:0PXWIkMrTBFV2og2xwdi2v,"Safe and Sound (Rebelution) [Remix]","Safe and Sound (Rebelution) [Remix]","Blunts & Blondes",2020-09-12,185600,41,false,,2025-11-08T20:21:05Z,"riddim,dubstep","87 Music",0.78,0.794,6,-3.222,1,0.18,0.0509,0,0.122,0.618,74.958,4
spotify:track:3ltMH0Qk0hp8diFx60ioIb,"IS IT","IS IT","Blooom;Phace",2025-03-11,174418,24,false,,2025-11-08T20:21:05Z,"drum and bass,drumstep,jungle","Pilot.",0.542,0.973,9,-0.345,1,0.122,0.000225,0.789,0.351,0.138,172.003,4
spotify:track:3VJPf6YFYoKvd9qQfVLM5w,"nothing like me","NOFORTUNE","Control Freak",2023-08-25,151714,28,false,,2025-11-08T20:21:05Z,"riddim,dubstep,bass music,edm trap,deathstep","Sable Valley Records",0.646,0.945,10,-6.062,0,0.0568,0.00286,0.487,0.108,0.0783,140.02,4
spotify:track:778aipVwFlzGEltPlKE7hK,"Currents","Plasma","Canabliss",2022-02-01,164571,40,false,,2025-11-08T20:21:05Z,"","WAKAAN",0.546,0.476,1,-10.681,0,0.0522,0.515,0.695,0.386,0.0377,139.957,4
spotify:track:4ZdbgG1lzEJY5YFWomSnKZ,"Headway","Headway","Ashez;Gallium",2025-06-27,195403,45,false,,2025-11-08T20:21:05Z,"bass music","Qualia",0.796,0.831,10,-5.16,0,0.0934,0.0581,0.872,0.122,0.708,140.048,4
spotify:track:3OywneuYVsbn40b9AzH58I,"Hypnotendiez","Wrecking Ball","PEEKABOO",2019-03-08,178280,31,false,,2025-11-08T20:21:05Z,"dubstep,bass music,riddim","Deadbeats",0.649,0.749,10,-4.891,0,0.212,0.003,0.3,0.111,0.448,139.875,4
spotify:track:1weRkqokOFNYbLSicGfG8I,"Clouds of Smoke","Clouds of Smoke","ETHER",2025-06-04,192000,28,false,,2025-11-08T20:21:05Z,"","True Form",0.549,0.94,1,-3.763,0,0.33,0.0315,0.00264,0.672,0.488,145.143,4
spotify:track:24xKxcxrCfWtOgonPByVNB,"Blue (Flume Remix)","Blue (Flume Remix)","Eiffel 65;Flume",2020-07-03,166666,48,false,,2025-11-08T20:21:05Z,"eurodance,europop,italo dance,future bass","Top Music IP",0.746,0.704,7,-3.905,0,0.0801,0.431,0.00794,0.249,0.665,134.938,4
spotify:track:7IZHUjEccg17iyWXBVfPs3,"Skanka - sumthin sumthin Remix","Skanka (P Money Vocal Dub)","Hamdi;sumthin sumthin",2023-12-15,140329,34,false,,2025-11-08T20:21:05Z,"uk garage,bassline,dubstep,bass music,future bass","Bassrush Records",0.736,0.736,2,-7.344,1,0.294,0.172,0.0089,0.157,0.135,129.92,4
spotify:track:3mYP9Tec1OzcwNKuCEqJzE,"Certified","Certified","EAZYBAKED;MontyCler",2023-09-12,219428,43,false,,2025-11-08T20:21:05Z,"bass music,dubstep","EAZYBAKED",0.92,0.532,10,-5.191,0,0.317,0.00517,0.0013,0.447,0.437,140.029,4
spotify:track:2MX61zLIo9LohKn8cGTqY8,"WHILE YOU WERE SLEEPING VIP","F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3","Skrillex;Virtual Riot;Nakeesha",2025-04-01,57599,51,false,,2025-11-08T20:21:05Z,"dubstep,edm,electro,electronic,riddim,deathstep,bass music,future bass,drumstep,dub","OWSLA/Atlantic",0.573,0.88,8,-4.325,1,0.327,0.0192,0.000325,0.368,0.92,150.02,4
spotify:track:26wNzedjBGoERhSb3mzEdl,"TEARS LOST DROP","F*CK U SKRILLEX YOU THINK UR ANDY WARHOL BUT UR NOT!! <3","Skrillex;Sleepnet;Joker",2025-04-01,76800,51,false,,2025-11-08T20:21:05Z,"dubstep,edm,electro,electronic,drum and bass,bass music,dub","OWSLA/Atlantic",0.581,0.805,5,-5.181,0,0.0434,0.000127,0.449,0.392,0.456,150.083,4
spotify:track:5g7gJzOgSt8iujy6DORM50,"Pulse","Pulse","LYNY;FLY",2023-09-27,147428,37,false,,2025-11-08T20:21:05Z,"bass music,dubstep","LYNY & FLY",0.865,0.554,9,-3.995,1,0.175,0.00104,0.868,0.454,0.0877,139.955,4
spotify:track:4J6ZXhcKEy7Dsg8ERMN17e,"Control","Control","borne",2024-09-27,151205,38,false,,2025-11-08T20:21:05Z,"uk garage,bass music,dubstep","UKF",0.643,0.726,9,-5.791,1,0.0367,0.000586,0.694,0.0456,0.0853,140.041,4
spotify:track:2Sbr3scYpI2an0wg3Sda9T,"The Beat","The Rollout","Pretty Sweet",2025-08-20,145531,28,true,,2025-11-08T20:21:05Z,"dubstep","Wubaholics",0.836,0.904,11,-1.473,0,0.105,0.00423,0.168,0.07,0.33,94.082,4
spotify:track:4Fb3APthpypgMtMp3p1Az7,"Encore","Encore","AMADRAMA",2023-01-19,129608,5,false,,2025-11-08T20:21:05Z,"bass house,g-house","AMADRAMA",0.657,0.947,9,-5.65,1,0.0374,0.000643,0.452,0.513,0.363,127.997,4
spotify:track:0izqjjVPJ1RZtunu7PPjWU,"INTRUDER","INTRUDER","Slick Portal",2025-03-14,195000,10,false,,2025-11-08T20:21:05Z,"","Dark Particle Records",0.554,0.672,0,-5.199,1,0.0313,0.0000818,0.513,0.499,0.141,79.984,4
spotify:track:3JAymUPWQlPtuzuhMD7pfh,"Bumpy Road","Bumpy Road","PEEKABOO",2022-07-08,206722,40,false,,2025-11-08T20:21:05Z,"dubstep,bass music,riddim","NIGHTMODE",0.816,0.832,2,-4.499,1,0.0548,0.00804,0.293,0.753,0.134,139.977,4
spotify:track:688MRabbIVRJRtZxef04Um,"The Deep","The Deep","Levity",2023-08-18,182608,43,false,,2025-11-08T20:21:05Z,"dubstep","Deadbeats",0.691,0.896,1,-5.074,1,0.138,0.0179,0.00477,0.397,0.354,91.938,4
spotify:track:3awHSnJDVnHm3cNCLI9sOf,"Your Lovin'","Your Lovin'","Jon Casey",2023-09-27,219718,39,false,,2025-11-08T20:21:05Z,"bass music,edm trap","bitbird",0.622,0.759,1,-5.141,1,0.0702,0.453,0.000398,0.134,0.295,141.98,4
spotify:track:29tRu5BqKiUDAoWLKIO3RN,"Tears","Quest For Fire","Skrillex;Joker;Sleepnet",2023-02-17,185571,50,false,,2025-11-08T20:21:05Z,"dubstep,edm,electro,electronic,dub,drum and bass,bass music","OWSLA/Atlantic",0.697,0.633,5,-5.288,0,0.1,0.00182,0.2,0.109,0.369,140.216,4
spotify:track:3qL63QvSTHvC4Uw8eEhz4z,"Supersonic (my existence)","Quest For Fire","Skrillex;Noisia;josh pan;Dylan Brady",2023-02-17,165372,58,false,,2025-11-08T20:21:05Z,"dubstep,edm,electro,electronic,hyperpop,glitch","OWSLA/Atlantic",0.555,0.676,9,-6.531,0,0.152,0.0144,0.00684,0.109,0.0649,85.889,4
spotify:track:5YRmvwA6P4fABxRhc61iH9,"2 MUCH (feat. 24hrs)","2 MUCH (feat. 24hrs)","Flosstradamus;24hrs",2018-02-09,182400,44,false,,2025-11-08T20:20:56Z,"edm trap","Ultra Records, LLC",0.638,0.933,4,-2.892,0,0.081,0.0657,0.0000104,0.087,0.16,150.044,4
spotify:track:0uMn8WKu3qtQLaUyal1bsz,"Mastermind","Deltron 3030","Deltron 3030;Del The Funky Homosapien;Dan The Automator;Kid Koala",2000,214306,51,false,,2025-11-08T20:20:56Z,"experimental hip hop,underground hip hop,trip hop,jazz rap","Deltron Projects",0.741,0.657,0,-9.589,0,0.0374,0.00224,0.00756,0.0825,0.25,94.211,4
spotify:track:72xhTz7tFCPjDGIl2w76D7,"Kick Some Ass - Remastered","Greatest Hits (Remastered)","Stroke 9",2010-01-26,241722,21,false,,2025-11-08T20:20:56Z,"","King Nummy",0.497,0.903,2,-5.197,1,0.0569,0.00536,0,0.347,0.562,96.006,4
