Direction,Date,Message
Sent,"2025-10-08 16:01:48","But yeah so idk whateve"
Sent,"2025-10-08 16:02:47","I need a sub so bad and I don’t evn have a way to get down there. I’m gonna have to rely on tom to come to "
Sent,"2025-10-08 16:03:12","There’s a lot of bullshit but yeah he’s supposed to be on h"
Sent,"2025-10-08 16:03:18","His way"
Received,"2025-10-08 16:04:39","Ok can you come out and help me on my way now "
Sent,"2025-10-08 16:04:44","Just come to the basement door"
Sent,"2025-10-08 16:04:51",?
Received,"2025-10-08 16:04:55","I need help"
Sent,"2025-10-08 16:04:56",ok
Received,"2025-10-08 16:05:10","I’m on crutches daniel "
Sent,"2025-10-08 22:05:59","I fucking hate this year so much lmao
why did you do this"
Received,"2025-10-08 22:06:42","🥺😞 "
Received,"2025-10-08 22:07:20","I’ve been feeling really guilty and shitty lately for how horrible I have been towards you and I am sorry "
Received,"2025-10-08 22:07:25","What happened now"
Received,"2025-10-09 10:22:01","I’ll have sixty for today."
Sent,"2025-10-09 10:32:15",Ok
Received,"2025-10-09 11:14:53","I’ll bring it over sometime after lunch "
Sent,"2025-10-09 11:37:14",ok
Sent,"2025-10-09 11:43:20","The sooner the bette"
Received,"2025-10-09 11:48:31","Ok I will try "
Received,"2025-10-09 12:02:50","Going in a min "
Sent,"2025-10-09 12:07:34",ok
Received,"2025-10-09 12:17:55","At atm "
Received,"2025-10-09 12:24:02","Here "
Sent,"2025-10-09 13:07:05","I should not give you the enjoyment to see this"
Sent,"2025-10-09 13:08:24","Actually I won’t but i"
Sent,"2025-10-09 13:08:33","i will describe it"
Sent,"2025-10-09 13:08:57","After things fell apart with that girl she called me “fake”"
Sent,"2025-10-09 13:09:00","And it"
Sent,"2025-10-09 13:09:11","Like there are SO MANY WAYS TO ATTACK ME"
Sent,"2025-10-09 13:09:30","You’re a failure. You’re in your moms basement. You’re broke. Your teeth are fucked. You’re a loser."
Sent,"2025-10-09 13:09:42","she chose the one single thing that was just objectively not true"
Sent,"2025-10-09 13:09:58","it was fucking awesome lmao"
Sent,"2025-10-09 13:10:21","It’s the one thing in this world that I am SURE I am not guilty of. "
Received,"2025-10-09 13:10:41","You are not fake "
Received,"2025-10-09 13:10:57","What’s her problem lol why did she want to have you on surveillance "
Received,"2025-10-09 13:11:23","Why would an old pill bottle cause hell lol"
Received,"2025-10-09 13:11:27","I don’t get it "
Sent,"2025-10-09 13:11:48","yeah me either. I mean it’s literal junior high brain"
Received,"2025-10-09 13:12:04","Weirdo. "
Sent,"2025-10-09 13:12:09","Obviously not very effective either"
Sent,"2025-10-09 13:12:18","Didn’t really prevent me from talking to you lmao"
Received,"2025-10-09 13:12:28","Cute "
Received,"2025-10-09 13:12:39","I don’t need to have surgery thankfully "
Sent,"2025-10-09 13:12:54","The sub thing was her fault"
Sent,"2025-10-09 13:13:13","She was supposed to bring me one on Monday - blew me off
same thing Tuesday - blew me off

Never gave me any heads up or anything"
Sent,"2025-10-09 13:13:22","So by the time I like really needed one I was totally fucked"
Received,"2025-10-09 13:13:26","Well that’s what you get for messing around with a girl who has subs, Xanax and whatever else "
Received,"2025-10-09 13:13:47","What would you expect "
Sent,"2025-10-09 13:15:30","The funniest part - she’s actually california sober"
Sent,"2025-10-09 13:15:35","Prescribed xanax "
Sent,"2025-10-09 13:15:45","Just knows people who have subs because Greene county"
Sent,"2025-10-09 13:16:00","Wasn’t weird about me doing coke but had no interest whatsoever"
Received,"2025-10-09 13:16:03","lol yeah whatever "
Sent,"2025-10-09 13:16:10","Swear to god"
Received,"2025-10-09 13:16:14","That’s fine "
Received,"2025-10-09 13:16:21","she’s still bat shit crazy "
Sent,"2025-10-09 13:17:39","yes that is true"
Sent,"2025-10-09 13:18:04","another BPD maniac"
Sent,"2025-10-09 13:18:39","milo escaped yesterday"
Sent,"2025-10-09 13:18:46","Out the back screen door"
Sent,"2025-10-09 13:18:51","Someone brought him to the door"
Received,"2025-10-09 13:20:01",WHAT
Received,"2025-10-09 13:20:03","EXCUSE ME "
Received,"2025-10-09 13:20:18","Jesus CHRISTTTTTTT"
Received,"2025-10-09 13:20:33","this is what i meannnnn "
Received,"2025-10-09 13:20:55","When was this. How did they catch him?! Where was he "
Sent,"2025-10-09 13:53:27","I’ll tell you when I see you. he’s still in california but it won’t be too long"
Received,"2025-10-09 14:01:01","You gotta keep an eye on Milo "
Received,"2025-10-09 14:01:06","Trying to escape your madness "
Received,"2025-10-09 14:01:18","Poor guy was probably scared "
Received,"2025-10-09 15:46:22",Anything?
Sent,"2025-10-09 15:50:12",ready
Sent,"2025-10-09 15:50:25","but if you can't come now I can bring it to you. Showing at 4:30"
Received,"2025-10-09 15:56:36","I’ll be over in a min"
Received,"2025-10-09 15:56:38","Okay? "
Sent,"2025-10-09 15:56:43",ok
Received,"2025-10-09 15:59:28","Leaving lunch in a min "
Received,"2025-10-09 16:08:36","On my way "
Received,"2025-10-09 19:04:24","Did you need money for a sub "
Received,"2025-10-09 19:08:01",
Received,"2025-10-09 19:08:11",
Received,"2025-10-09 19:08:18","Oh come on what da heck "
Received,"2025-10-09 19:08:38","I can send you that if you need it. I have enough to get something tomorrow"
Received,"2025-10-09 19:09:57","Sent to your cashapp "
Received,"2025-10-09 19:11:32","Is the king baby okay "
Received,"2025-10-09 19:15:51",
Received,"2025-10-09 19:15:56","He’s copying me "
Received,"2025-10-09 19:16:08","He said I saw mommy have a bum leg "
Received,"2025-10-09 19:16:12","I wanna bum leg too "
Received,"2025-10-09 22:22:43",
Received,"2025-10-09 22:22:53",
Received,"2025-10-09 22:23:02","You don’t have to send it back "
Received,"2025-10-09 22:23:06","It’s fine really "
Received,"2025-10-09 22:23:22","Has he tried to walk on it at all? Or just laying down "
Sent,"2025-10-10 01:14:59","Tomorrow night? Stop over on your way home for a little bit?"
Received,"2025-10-10 01:31:11",
Received,"2025-10-10 01:31:43","Questioned “Tomorrow night? Stop over on your way home for a little bit?”"
Received,"2025-10-10 01:32:00","Just woke up randomly i dont know if that was intended for me??"
Received,"2025-10-10 01:32:37","But I hope Milo is okay just keep an eye on it. going back to sleep my ankle is killing me "
Received,"2025-10-10 09:16:07",
Received,"2025-10-10 09:16:28",
Received,"2025-10-10 09:30:07","Good morning "
Received,"2025-10-10 09:30:27","How is Mimi doing? I will go to the bank in a little bit we can get a full one "
Sent,"2025-10-10 10:01:31","Not good ☹️"
Sent,"2025-10-10 10:02:04","Lets try to call by 1130"
Received,"2025-10-10 10:02:14",Call?
Sent,"2025-10-10 10:02:21",Bop
Received,"2025-10-10 10:02:24",Ohh
Received,"2025-10-10 10:02:26","Ok "
Received,"2025-10-10 10:02:43","I was going to get dressed in a little "
Received,"2025-10-10 10:02:51","And go to the bank "
Received,"2025-10-10 10:03:07","My ankle hurts so bad right now "
Received,"2025-10-10 10:44:51","Going to bank "
Sent,"2025-10-10 10:48:48",Ok
Received,"2025-10-10 10:49:26","Leaving pnc"
Sent,"2025-10-10 10:49:57","Can you grab cigs for me"
Received,"2025-10-10 10:50:17","Argh I guess "
Received,"2025-10-10 10:50:21","What kind "
Received,"2025-10-10 10:51:13","?? "
Sent,"2025-10-10 10:51:53","Crown  menthol"
Sent,"2025-10-10 10:51:59",Ty
Received,"2025-10-10 10:52:23","100’s?"
Received,"2025-10-10 10:52:28",Right)
Sent,"2025-10-10 10:53:09",plz
Received,"2025-10-10 10:58:30","On my way "
Received,"2025-10-10 12:19:42",
Received,"2025-10-10 12:19:54","🙄🙄🙄"
Received,"2025-10-10 12:20:04",
Received,"2025-10-10 12:20:08",
Received,"2025-10-10 12:20:12","Bum leg boy "
Received,"2025-10-10 12:20:26","Poor baby "
Received,"2025-10-10 12:20:38",
Received,"2025-10-10 12:20:44","Why you laughing then lol"
Received,"2025-10-10 12:21:02",
Received,"2025-10-10 12:21:07",
Received,"2025-10-10 12:21:16",
Received,"2025-10-10 12:21:19","You are laughing lol"
Received,"2025-10-10 13:12:20",
Received,"2025-10-10 13:12:34",
Received,"2025-10-10 13:12:51","Want some turkey breast I think we have some "
Received,"2025-10-10 13:13:40","Nvm we don’t 😕 I’m sorry "
Received,"2025-10-10 13:14:30",
Received,"2025-10-10 13:14:37","Let me look. Calm down "
Received,"2025-10-10 13:43:17",
Received,"2025-10-10 13:44:20",Still
Received,"2025-10-10 13:44:24","What da heck "
Received,"2025-10-10 13:52:37",
Received,"2025-10-10 13:52:47","Your mom showed me "
Received,"2025-10-10 13:52:51","I have turkey for you "
Received,"2025-10-10 13:52:57",
Received,"2025-10-10 13:53:10",
Received,"2025-10-10 13:53:32",
Received,"2025-10-10 13:53:40","No I already have it wrapped up for you "
Received,"2025-10-10 13:53:54","Why you sending voice memos lol "
Received,"2025-10-10 13:56:02",
Received,"2025-10-10 13:56:09","😵‍💫"
Received,"2025-10-10 13:56:32",
Received,"2025-10-10 13:56:38",
Received,"2025-10-10 13:56:44",
Received,"2025-10-10 14:07:50","Where da heck is heeeeee "
Received,"2025-10-10 14:07:56","He hasn’t answered at all?? "
Received,"2025-10-10 14:09:35",
Received,"2025-10-10 14:14:03",
Received,"2025-10-10 14:14:12",
Received,"2025-10-10 14:14:17","ENOUGH ABOUT THE DAMN TREES "
Sent,"2025-10-10 14:15:59","￼"
Received,"2025-10-10 14:16:37","Awe "
Received,"2025-10-10 14:16:42","Just help the boy "
Sent,"2025-10-10 14:17:33","￼"
Sent,"2025-10-10 14:17:51","￼"
Received,"2025-10-10 14:18:37","I’m going to bring you this turkey and you’re going to calm the heck down lol "
Received,"2025-10-10 14:19:08",
Received,"2025-10-10 14:19:09","No "
Received,"2025-10-10 14:37:46","Coming over "
Sent,"2025-10-10 14:38:56",Ok
Sent,"2025-10-10 14:42:33","When bitch"
Sent,"2025-10-10 14:42:47","I got a wait outside for your dumb ass and your broken ass ankle"
Received,"2025-10-10 14:42:49","On Saratoga "
Sent,"2025-10-10 19:59:21","If you want to stop by later to hang let me know. 🙃"
Received,"2025-10-11 00:48:09","I’m
Sorry "
Received,"2025-10-11 00:48:19","Don’t hate me "
Received,"2025-10-11 00:48:22","Please "
Received,"2025-10-11 00:49:14","I was at Ohio Pyle  and had zero cell service 🥺"
Sent,"2025-10-11 00:53:04","Ok its fine"
Received,"2025-10-11 00:53:21","☹️☹️☹️"
Received,"2025-10-11 00:53:34","* flounder face *"
Received,"2025-10-11 00:53:56",Tomorrow
Received,"2025-10-11 00:53:58","? "
Received,"2025-10-11 00:54:04","Rain check?"
Sent,"2025-10-11 01:00:51","Sure if you want"
Received,"2025-10-11 01:01:59","🙄🙄🙄"
Received,"2025-10-11 01:02:05","Turd brain "
Sent,"2025-10-11 01:05:18","Hey I tried 😑"
Received,"2025-10-11 01:06:53","I. DID. NOT. HAVE. SERVICE. "
Sent,"2025-10-11 01:10:23","￼Juuuuuust sayin"
Received,"2025-10-11 01:12:08","Bc where would I be coming home from?? I had zero plans for this evening let alone you be aware yesterday of where I would be in the future “oh my way home”"
Sent,"2025-10-11 01:13:43","Me = psychic"
Sent,"2025-10-11 01:13:52","Me = brat"
Sent,"2025-10-11 01:23:43","Its fine I’m kidding"
Sent,"2025-10-11 01:24:19","But don’t blow me off tomorrow asshole"
Sent,"2025-10-11 04:40:41","￼I knew this whole fucking thing was cursed"
Received,"2025-10-11 09:28:19","Omg lol"
Received,"2025-10-11 11:46:46",
Received,"2025-10-11 11:46:58",
Received,"2025-10-11 11:47:30","Umm I don’t have enough currently. Claire’s supposed to pay me back for hobby lobby. I’ll let you know "
Sent,"2025-10-11 12:04:11","￼"
Received,"2025-10-11 12:08:54","I do too care about the dog "
Received,"2025-10-11 12:10:44","I feel bad for Mimi "
Received,"2025-10-11 12:20:05",
Received,"2025-10-11 12:20:07","Oh ok "
Received,"2025-10-11 12:20:20","Well I don’t have 60 rn "
Received,"2025-10-11 12:21:02",
Received,"2025-10-11 12:21:20","I’ve had enough of the audio messages you’re killing me "
Received,"2025-10-11 12:22:11",
Received,"2025-10-11 12:22:19","😒"
Received,"2025-10-11 12:22:30",
Sent,"2025-10-11 12:23:09","￼"
Received,"2025-10-11 12:23:31",
Received,"2025-10-11 12:23:40","Jesus Christ daniel "
Received,"2025-10-11 12:24:12",
Received,"2025-10-11 13:14:04","Would I be able to send the money to your mom"
Received,"2025-10-11 13:14:12","I can’t get up right now "
Received,"2025-10-11 13:33:44",
Received,"2025-10-11 13:33:46","Thank you "
Received,"2025-10-11 14:37:56","Have you heard anything "
Sent,"2025-10-11 14:42:39","Not yet"
Received,"2025-10-11 14:44:28","😒🙄"
Received,"2025-10-11 15:28:12","Thank you "
Received,"2025-10-11 15:56:18",Weeellllll
Sent,"2025-10-11 15:57:24",?
Received,"2025-10-11 15:58:27","👹"
Received,"2025-10-11 16:16:40","Do we have any sort of eta"
Sent,"2025-10-11 16:29:02","No not yet"
Received,"2025-10-11 16:29:11","Bullshit "
Received,"2025-10-11 16:29:16","bull. Shit. "
Received,"2025-10-11 16:37:08",
Received,"2025-10-11 16:37:10","Ok "
Sent,"2025-10-11 17:05:59","You can come anytime"
Sent,"2025-10-11 17:13:48",Ok?
Received,"2025-10-11 17:49:30","Ok "
Received,"2025-10-11 17:50:03","I fell asleep "
Received,"2025-10-11 18:12:24","On my way "
Sent,"2025-10-11 20:19:12","Psh you’re not coming back. So much for ur raincheck"
Received,"2025-10-11 20:21:55","Dan I came back here and I fell asleep "
Received,"2025-10-11 20:22:12","￼Somehow the bruising is getting worse "
Sent,"2025-10-11 20:53:24","😑 that was my last try I won’t bother you again act that"
Received,"2025-10-11 21:54:35","Stop it "
Received,"2025-10-12 10:22:59","￼"
Received,"2025-10-12 11:23:11","I think I will be able to get sixty today"
Received,"2025-10-12 12:01:24","Omg "
Received,"2025-10-12 12:01:45","I’ll get dressed and go to the bank "
Received,"2025-10-12 12:03:02","Just remembered there’s a Steelers game at like 1:00? See if you can just text him"
Received,"2025-10-12 12:03:12","I’m getting g ready to leave "
Received,"2025-10-12 12:10:20","I cannot "
Received,"2025-10-12 12:12:42","Maybe "
Received,"2025-10-12 12:12:48","Pissing me off "
Sent,"2025-10-12 12:22:53",??
Received,"2025-10-12 12:23:47","ALL I WAS SAYING "
Received,"2025-10-12 12:23:52","Was text him now I’m on my way"
Received,"2025-10-12 12:24:10","Bc Steelers are playing early "
Received,"2025-10-12 12:24:14","Jeeze "
Sent,"2025-10-12 12:28:01","I am trying but u waited too long"
Received,"2025-10-12 12:28:40","Whatever. "
Received,"2025-10-12 12:28:44","I’m coming inside "
Sent,"2025-10-12 12:28:58",Ok
Received,"2025-10-12 15:25:43","Anything? "
Received,"2025-10-12 16:16:47","Blah blah "
Received,"2025-10-12 16:16:49","Thanks "
Received,"2025-10-12 16:42:32","How about how "
Received,"2025-10-12 16:42:34","Now "
Received,"2025-10-12 17:23:47","👹👹"
Received,"2025-10-12 17:24:50","Coming now?"
Received,"2025-10-12 17:25:01","Going to eat real quick then come "
Received,"2025-10-12 17:25:07","Then gotta do sugies pills "
Received,"2025-10-12 17:25:16","Do NOT open it. Please. "
Sent,"2025-10-12 17:38:34","rdy'"
Received,"2025-10-12 17:38:48","Ok hang on "
Received,"2025-10-12 17:42:55","Coming "
Received,"2025-10-12 21:14:00","￼Wands for Alice’s princess tea party "
Sent,"2025-10-13 07:32:15","I talked to booplast night to make sure you get extra today to make up for the last few"
Sent,"2025-10-13 07:32:38","Just please try to be ready before noon"
Sent,"2025-10-13 07:33:20","(It will help you out trust me )"
Received,"2025-10-13 08:20:32","I DO NOT HAVE MONEY "
Received,"2025-10-13 08:21:16","I’ll fucking try my best but fuck "
Sent,"2025-10-13 08:22:16","What? Its Monday?"
Sent,"2025-10-13 08:22:25",Wtf
Received,"2025-10-13 08:22:28","I HAVE HAD A BROKEN ANKLE "
Received,"2025-10-13 08:22:44","I HAVENT BEEN TAKING CARE OF SUGIE"
Received,"2025-10-13 08:23:40","I will try to get some money. "
Received,"2025-10-13 08:44:14","Plus. It’s fucking Columbus Day. Banks are closed even if I were able to get a check. I asked Claire to send me money that she owed me. That’ll get me close to 90. "
Received,"2025-10-13 08:44:14","I’m trying here Dan "
Received,"2025-10-13 11:42:55","Still waiting on Claire to send the money.. I guess I’ll try to ask my mom for some too. "
Received,"2025-10-13 11:57:07","My mom sent me some. Still waiting for Claire.. when she does I will have 125. "
Received,"2025-10-13 12:39:13","Sorry I’m still waiting. I don’t want to bug her bc she’s at work"
Received,"2025-10-13 12:51:00","I currently have 90"
Received,"2025-10-13 13:22:56","Can you call me "
Sent,"2025-10-13 13:37:09","How long"
Received,"2025-10-13 18:36:55","￼"
Sent,"2025-10-13 21:39:59","We just now calm down I swear to God"
Received,"2025-10-13 21:42:47","You’re kidding "
Received,"2025-10-13 21:44:02","It’s not delivering my texts to you?"
Received,"2025-10-13 21:55:25","Kept saying not delivered weird "
Sent,"2025-10-14 09:14:38","Get your order in early today"
Received,"2025-10-14 09:18:18","I have fifty "
Received,"2025-10-14 09:18:39","I’ll bring the money over before my appointment "
Sent,"2025-10-14 09:19:51","You can’t get 10 more? It will be so much smaller if you get 50 instead of 60"
Sent,"2025-10-14 09:20:48","Its up to you but it makes more sense for you if you can come up w 10 more idk"
Received,"2025-10-14 09:30:19","I’ll try "
Received,"2025-10-14 09:52:55","Not looking like I can get another ten "
Received,"2025-10-14 09:53:07","Also a filling came out of my tooth "
Sent,"2025-10-14 09:56:12","Alright well I tried to warn you"
Sent,"2025-10-14 09:56:30","When are you bringing it"
Received,"2025-10-14 09:56:55","I have no way of getting ten dollars Dan?!  What do you want me to do"
Received,"2025-10-14 09:57:34","I’ll bring it before my appointment. Leaving around 10:45"
Received,"2025-10-14 10:23:52","Let me see if my dad has cash when he gets home. He’s on his way "
Received,"2025-10-14 10:38:55","I have $60 going to atm"
Received,"2025-10-14 10:45:20","On my way over "
Received,"2025-10-14 10:49:27","Here "
Received,"2025-10-14 12:28:01","Has he answered "
Received,"2025-10-14 12:51:04","Keyboard out for delivery "
Sent,"2025-10-14 14:21:18","Still waiting \"
Sent,"2025-10-14 14:30:20","If you’re coming over get me a drink and candy  or else I lock the doors"
Sent,"2025-10-14 14:30:26",Kidding
Sent,"2025-10-14 14:30:35","But not rly"
Received,"2025-10-14 14:30:48","I don’t have money "
Received,"2025-10-14 14:30:57","I’ll bring you a Coke "
Sent,"2025-10-14 14:31:18","Ill let u know when I’m ready"
Sent,"2025-10-14 14:31:33","I don’t want that lol"
Received,"2025-10-14 14:31:43","Well sorry "
Received,"2025-10-14 14:31:56","Actually I do have a Red Bull in the car I got earlier "
Sent,"2025-10-14 14:32:17","… ill let u know"
Received,"2025-10-14 14:32:22","Ok "
Received,"2025-10-14 15:00:10","Can I come "
Sent,"2025-10-14 15:06:36","Not dry"
Sent,"2025-10-14 15:06:42",Ray
Received,"2025-10-14 15:06:51","I can’t come over??"
Received,"2025-10-14 15:08:20","I have Red Bull "
Sent,"2025-10-14 15:12:15","You don’t even hang out with me when you’re here?"
Received,"2025-10-14 15:13:26","Can I come over or not Dan. "
Received,"2025-10-14 15:26:41","Whatever I’m coming. "
Received,"2025-10-14 16:14:41","Delivered. "
Received,"2025-10-14 16:45:22","Did you get the keyboard?"
Sent,"2025-10-14 16:48:58","Yes I did thank you very much"
Received,"2025-10-14 16:49:07","Good. "
Sent,"2025-10-14 16:49:08","I’m still waiting, she said he is coming"
Received,"2025-10-14 16:49:22","When did she say that "
Sent,"2025-10-14 16:49:41","I don’t mean that he is necessarily ON THE WAY"
Sent,"2025-10-14 16:49:45","But he is coming I don"
Received,"2025-10-14 16:49:49","I’d like to be out the door before the kids come over"
Received,"2025-10-14 16:49:51",Ok
Sent,"2025-10-14 16:49:56","I don’t know I’ll let you know as soon as I hear something"
Received,"2025-10-14 16:50:03","Thank you "
Sent,"2025-10-14 17:01:48",Ready
Received,"2025-10-14 17:01:55","Thank you "
Sent,"2025-10-14 17:08:08","Thanks buddy I’ll let you know when I head out"
Received,"2025-10-14 17:08:32","Wrong text "
